"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","major_mechanical_failures","major_mechanical_failures_1","other_mechanical_failures","other_mechanical_failures_1","total_mechanical_failures","total_mechanical_failures_1","vehicle_passenger_car_miles","vehicle_passenger_car_miles_1","vehicle_passenger_car_revenue","vehicle_passenger_car_miles_2","train_miles","train_miles_questionable","train_revenue_miles","train_revenue_miles_1"
"Montgomery County, Maryland, dba: Ride On","Rockville","MD","30051","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","288","DR","Demand Response","DO","4","0",,"0",,"0",,"77461",,"56335","Q","0",,"0",
"Riverside Transit Agency","Riverside","CA","90031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75340","Riverside--San Bernardino, CA","2276703","211","DR","Demand Response","PT","77","28",,"16",,"44",,"2714616",,"2206189",,"0",,"0",
"Riverside Transit Agency","Riverside","CA","90031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75340","Riverside--San Bernardino, CA","2276703","211","MB","Bus","DO","77","602",,"386",,"988",,"5044449",,"4362529",,"0",,"0",
"Riverside Transit Agency","Riverside","CA","90031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75340","Riverside--San Bernardino, CA","2276703","211","MB","Bus","PT","49","108",,"159",,"267",,"2913862",,"2125196",,"0",,"0",
"Riverside Transit Agency","Riverside","CA","90031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75340","Riverside--San Bernardino, CA","2276703","211","CB","Commuter Bus","DO","8","52",,"23",,"75",,"673684",,"545059",,"0",,"0",
"Rock Island County Metropolitan Mass Transit District","Moline","IL","50057","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22366","Davenport, IA--IL","285211","63","DR","Demand Response","DO","9","8",,"0",,"8",,"245581",,"207437",,"0",,"0",
"Rock Island County Metropolitan Mass Transit District","Moline","IL","50057","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22366","Davenport, IA--IL","285211","63","DR","Demand Response","PT","4","13",,"2",,"15",,"150521",,"128590",,"0",,"0",
"Rock Island County Metropolitan Mass Transit District","Moline","IL","50057","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22366","Davenport, IA--IL","285211","63","FB","Ferryboat","PT","3","5",,"0",,"5",,"14146",,"14146",,"0",,"0",
"Rock Island County Metropolitan Mass Transit District","Moline","IL","50057","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","22366","Davenport, IA--IL","285211","63","MB","Bus","DO","47","309",,"136",,"445",,"2342490",,"2215763",,"0",,"0",
"Rockford Mass Transit District","Rockford","IL","50058","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75718","Rockford, IL","276443","48","DR","Demand Response","DO","24","45",,"20",,"65",,"903563",,"818003",,"0",,"0",
"Rockford Mass Transit District","Rockford","IL","50058","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","75718","Rockford, IL","276443","48","MB","Bus","DO","24","349",,"127",,"476",,"1330810",,"1329345",,"0",,"0",
"Rogue Valley Transportation District","Medford","OR","00034","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","55981","Medford, OR","171640","50","MB","Bus","DO","31","38",,"53",,"91",,"1326133",,"1252924",,"0",,"0",
"Rogue Valley Transportation District","Medford","OR","00034","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","55981","Medford, OR","171640","50","DR","Demand Response","PT","19","3",,"25",,"28",,"434862",,"382511",,"0",,"0",
"San Mateo County Transit District, dba: SamTrans","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","331","DR","Demand Response","PT","79","39",,"6",,"45",,"1934847",,"1669345",,"0",,"0",
"San Mateo County Transit District, dba: SamTrans","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","331","MB","Bus","DO","160","191",,"15",,"206",,"5727830",,"4155546",,"0",,"0",
"San Mateo County Transit District, dba: SamTrans","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","331","MB","Bus","PT","53","15",,"73",,"88",,"2473261",,"1689142",,"0",,"0",
"Sacramento Regional Transit District, dba: Sacramento RT","Sacramento","CA","90019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77068","Sacramento, CA","1946618","374","DR","Demand Response","DO","115","27",,"65",,"92",,"3573989",,"2695918",,"0",,"0",
"Sacramento Regional Transit District, dba: Sacramento RT","Sacramento","CA","90019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77068","Sacramento, CA","1946618","374","LR","Light Rail","DO","43","391",,"47",,"438",,"3656359",,"3588470",,"1835534",,"1800209",
"Sacramento Regional Transit District, dba: Sacramento RT","Sacramento","CA","90019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77068","Sacramento, CA","1946618","374","MB","Bus","DO","193","410",,"281",,"691",,"8730856",,"7219695",,"0",,"0",
"Saginaw Transit Authority Regional Service","Saginaw","MI","50039","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77149","Saginaw, MI","116058","48","DR","Demand Response","DO","26","5",,"3",,"8",,"559765",,"439626",,"0",,"0",
"Saginaw Transit Authority Regional Service","Saginaw","MI","50039","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77149","Saginaw, MI","116058","48","MB","Bus","DO","22","18",,"16",,"34",,"802951",,"767418",,"0",,"0",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78229","Salem, OR","268331","150","DR","Demand Response","PT","31","2",,"2",,"4",,"594371",,"533538",,"0",,"0",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78229","Salem, OR","268331","150","MB","Bus","DO","53","97",,"63",,"160",,"2553489",,"2382460",,"0",,"0",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78229","Salem, OR","268331","150","VP","Vanpool","PT","53","0",,"0",,"0",,"538867",,"538867",,"0",,"0",
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78229","Salem, OR","268331","150","MB","Bus","PT","13","6",,"1",,"7",,"575525",,"511166",,"0",,"0",
"San Diego Association of Governments, dba: SANDAG","San Diego","CA","90095","MPO, COG or Other Planning Agency","Full Reporter","2023","78661","San Diego, CA","3070300","413","VP","Vanpool","PT","413","4",,"4",,"8",,"9983315",,"9983315",,"0",,"0",
"San Diego Metropolitan Transit System","San Diego","CA","90026","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78661","San Diego, CA","3070300","774","DR","Demand Response","PT","59","59",,"3",,"62",,"2285261",,"1862337",,"0",,"0",
"San Diego Metropolitan Transit System","San Diego","CA","90026","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78661","San Diego, CA","3070300","774","LR","Light Rail","DO","114","260",,"581",,"841",,"12983931",,"12700555",,"4338700",,"4243873",
"San Diego Metropolitan Transit System","San Diego","CA","90026","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78661","San Diego, CA","3070300","774","MB","Bus","DO","194","1360",,"118",,"1478",,"10021542",,"8826407",,"0",,"0",
"San Diego Metropolitan Transit System","San Diego","CA","90026","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78661","San Diego, CA","3070300","774","MB","Bus","PT","272","1590",,"199",,"1789",,"11312593",,"9725183",,"0",,"0",
"San Diego Metropolitan Transit System","San Diego","CA","90026","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78661","San Diego, CA","3070300","774","CB","Commuter Bus","PT","9","17",,"1",,"18",,"478096",,"208353",,"0",,"0",
"San Francisco Bay Area Rapid Transit District, dba: SF BART","Oakland","CA","90003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","582","HR","Heavy Rail","DO","566","359",,"253",,"612",,"86306518",,"83783824",,"9489753",,"9209906",
"San Francisco Bay Area Rapid Transit District, dba: SF BART","Oakland","CA","90003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","582","MG","Monorail/Automated Guideway","PT","2","4",,"22",,"26",,"261626",,"258323",,"261626",,"258323",
"San Francisco Bay Area Rapid Transit District, dba: SF BART","Oakland","CA","90003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","582","YR","Hybrid Rail","DO","14","9",,"10",,"19",,"1200652",,"1191602",,"385551",,"382785",
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","774","CC","Cable Car","DO","26","284",,"751",,"1035",,"198912",,"198912",,"198912",,"198912",
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","774","DR","Demand Response","PT","111","13",,"14",,"27",,"1655256",,"1248469",,"0",,"0",
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","774","LR","Light Rail","DO","115","789",,"253",,"1042",,"4837888",,"4833132",,"2591793",,"2589174",
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","774","MB","Bus","DO","354","1196",,"123",,"1319",,"14254749",,"13046816",,"0",,"0",
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","774","TB","Trolleybus","DO","156","390",,"63",,"453",,"4780221",,"4631395",,"0",,"0",
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","774","SR","Streetcar Rail","DO","12","91",,"27",,"118",,"247153",,"247153",,"247153",,"247153",
"San Joaquin Regional Transit District, dba: San Joaquin RTD","Stockton","CA","90012","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","85087","Stockton, CA","414847","93","MB","Bus","DO","60","181",,"309",,"490",,"1917374",,"1699395",,"0",,"0",
"San Joaquin Regional Transit District, dba: San Joaquin RTD","Stockton","CA","90012","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","85087","Stockton, CA","414847","93","CB","Commuter Bus","DO","6","12",,"14",,"26",,"308730",,"256040",,"0",,"0",
"San Joaquin Regional Transit District, dba: San Joaquin RTD","Stockton","CA","90012","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","85087","Stockton, CA","414847","93","DR","Demand Response","DO","14","13",,"29",,"42",,"427470",,"370410",,"0",,"0",
"San Joaquin Regional Transit District, dba: San Joaquin RTD","Stockton","CA","90012","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","85087","Stockton, CA","414847","93","DR","Demand Response","PT","13","0",,"0",,"0",,"338354",,"286441",,"0",,"0",
"Santa Barbara Metropolitan Transit District","Santa Barbara","CA","90020","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","79282","Santa Barbara, CA","202197","63","MB","Bus","DO","63","23",,"177",,"200",,"2327436",,"2045235",,"0",,"0",
"Santa Clara Valley Transportation Authority, dba: Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","79039","San Jose, CA","1837446","512","LR","Light Rail","DO","54","25",,"2279",,"2304",,"3426954",,"3202370",,"2089507",,"1954780",
"Santa Clara Valley Transportation Authority, dba: Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","79039","San Jose, CA","1837446","512","MB","Bus","DO","330","1540",,"26958",,"28498",,"17093422",,"14957419",,"0",,"0",
"Santa Clara Valley Transportation Authority, dba: Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","79039","San Jose, CA","1837446","512","MB","Bus","PT","12","0",,"3",,"3",,"215033",,"174241",,"0",,"0",
"Santa Clara Valley Transportation Authority, dba: Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","79039","San Jose, CA","1837446","512","DR","Demand Response","PT","116","23",,"6",,"29",,"4307019",,"3445265",,"0",,"0",
"City of Santa Clarita, dba: Santa Clarita Transit","Santa Clarita","CA","90171","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79309","Santa Clarita, CA","278031","88","DR","Demand Response","PT","22","61",,"45",,"106",,"918034",,"799319",,"0",,"0",
"City of Santa Clarita, dba: Santa Clarita Transit","Santa Clarita","CA","90171","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79309","Santa Clarita, CA","278031","88","MB","Bus","PT","44","88",,"203",,"291",,"1717546",,"1596600",,"0",,"0",
"City of Santa Clarita, dba: Santa Clarita Transit","Santa Clarita","CA","90171","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79309","Santa Clarita, CA","278031","88","CB","Commuter Bus","PT","22","54",,"34",,"88",,"789165",,"619920",,"0",,"0",
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","79336","Santa Cruz, CA","169038","93","DR","Demand Response","DO","29","16",,"0",,"16",,"530861",,"433469",,"0",,"0",
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","79336","Santa Cruz, CA","169038","93","MB","Bus","DO","55","142",,"0",,"142",,"2390613",,"2148872",,"0",,"0",
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","79336","Santa Cruz, CA","169038","93","CB","Commuter Bus","DO","9","24",,"0",,"24",,"402204",,"392785",,"0",,"0",
"City of Santa Maria, dba: Santa Maria Regional Transit","Santa Maria","CA","90087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79417","Santa Maria, CA","143609","26","DR","Demand Response","PT","5","3",,"4",,"7",,"96286",,"88672",,"0",,"0",
"City of Santa Maria, dba: Santa Maria Regional Transit","Santa Maria","CA","90087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79417","Santa Maria, CA","143609","26","MB","Bus","PT","21","4",,"7",,"11",,"913604",,"867821",,"0",,"0",
"Santee Wateree Regional Transportation Authority, dba: Santee Wateree RTA","Sumter","SC","40100","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","85708","Sumter, SC","68825","43","DR","Demand Response","DO","32","26",,"64",,"90",,"219975",,"167108",,"0",,"0",
"Santee Wateree Regional Transportation Authority, dba: Santee Wateree RTA","Sumter","SC","40100","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","85708","Sumter, SC","68825","43","MB","Bus","DO","10","0",,"1",,"1",,"255276",,"247815",,"0",,"0",
"Santee Wateree Regional Transportation Authority, dba: Santee Wateree RTA","Sumter","SC","40100","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","85708","Sumter, SC","68825","43","CB","Commuter Bus","DO","1","0",,"1",,"1",,"57065",,"57065",,"0",,"0",
"Sarasota County , dba: Breeze Transit","Sarasota","FL","40046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","9536","Bradenton--Sarasota--Venice, FL","779075","109","DR","Demand Response","PT","76","81",,"148",,"229",,"3198954",,"2775968",,"0",,"0",
"Sarasota County , dba: Breeze Transit","Sarasota","FL","40046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","9536","Bradenton--Sarasota--Venice, FL","779075","109","MB","Bus","DO","30","252",,"61",,"313",,"2030191",,"1887686",,"0",,"0",
"Sarasota County , dba: Breeze Transit","Sarasota","FL","40046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","9536","Bradenton--Sarasota--Venice, FL","779075","109","MB","Bus","PT","3","0",,"0",,"0",,"142318",,"134284",,"0",,"0",
"City of Shreveport, dba: SporTran","Shreveport","LA","60024","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","81739","Shreveport, LA","288052","53","DR","Demand Response","DO","19","30",,"13",,"43",,"917247",,"778524",,"0",,"0",
"City of Shreveport, dba: SporTran","Shreveport","LA","60024","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","81739","Shreveport, LA","288052","53","MB","Bus","DO","34","159",,"169",,"328",,"2108869",,"1981131",,"0",,"0",
"City of Sioux City, dba: Sioux City Transit System","Sioux City","IA","70012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","82225","Sioux City, IA--NE--SD","113066","27","DR","Demand Response","PT","9","4",,"0",,"4",,"196578",,"184906",,"0",,"0",
"City of Sioux City, dba: Sioux City Transit System","Sioux City","IA","70012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","82225","Sioux City, IA--NE--SD","113066","27","MB","Bus","DO","18","8",,"3",,"11",,"621653",,"601974",,"0",,"0",
"City of Sioux Falls, dba: Sioux Area Metro","Sioux Falls","SD","80002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","82252","Sioux Falls, SD","194283","31","DR","Demand Response","DO","15","33",,"18",,"51",,"353830",,"316257",,"0",,"0",
"City of Sioux Falls, dba: Sioux Area Metro","Sioux Falls","SD","80002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","82252","Sioux Falls, SD","194283","31","MB","Bus","DO","16","66",,"31",,"97",,"526337",,"515790",,"0",,"0",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","497","DR","Demand Response","PT","41","36",,"22",,"58",,"1405212",,"1175597",,"0",,"0",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","497","MB","Bus","DO","112","511",,"447",,"958",,"7351078",,"6027337",,"0",,"0",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","497","VP","Vanpool","DO","282","16",,"0",,"16",,"2654836",,"2654836",,"0",,"0",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","497","CB","Commuter Bus","DO","24","30",,"18",,"48",,"1060895",,"572046",,"0",,"0",
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","497","CB","Commuter Bus","PT","38","74",,"23",,"97",,"1658468",,"743674",,"0",,"0",
"County of Sonoma , dba: Sonoma County Transit","Santa Rosa","CA","90089","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79498","Santa Rosa, CA","297329","47","DR","Demand Response","PT","17","1",,"0",,"1",,"497901",,"313637",,"0",,"0",
"County of Sonoma , dba: Sonoma County Transit","Santa Rosa","CA","90089","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","79498","Santa Rosa, CA","297329","47","MB","Bus","PT","30","61",,"8",,"69",,"1851280",,"1424277",,"0",,"0",
"South Bend Public Transportation Corporation, dba: Transpo","South Bend","IN","50052","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","83116","South Bend, IN--MI","278921","57","DR","Demand Response","DO","15","0",,"5",,"5",,"325631",,"280891",,"0",,"0",
"South Bend Public Transportation Corporation, dba: Transpo","South Bend","IN","50052","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","83116","South Bend, IN--MI","278921","57","MB","Bus","DO","42","94",,"98",,"192",,"1383531",,"1303204",,"0",,"0",
"Gold Coast Transit District","Oxnard","CA","90035","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","66673","Oxnard--San Buenaventura (Ventura), CA","376117","72","DR","Demand Response","PT","23","17",,"2",,"19",,"756167",,"634139",,"0",,"0",
"Gold Coast Transit District","Oxnard","CA","90035","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","66673","Oxnard--San Buenaventura (Ventura), CA","376117","72","MB","Bus","DO","49","173",,"120",,"293",,"2302681",,"2091036",,"0",,"0",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","CR","Commuter Rail","DO","306","120",,"111",,"231",,"17445759",,"16787553",,"4014851",,"3862921",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","DR","Demand Response","PT","240","315",,"158",,"473",,"7153882",,"6178443",,"0",,"0",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","HR","Heavy Rail","DO","238","252",,"131",,"383",,"15274825",,"15034666",,"3374384",,"3321165",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","MB","Bus","DO","1046","5265",,"2153",,"7418",,"43275487",,"38729536",,"0",,"0",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","TB","Trolleybus","DO","28","258",,"39",,"297",,"816491",,"798435",,"0",,"0",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","SR","Streetcar Rail","DO","91","24",,"298",,"322",,"2657007",,"2569091",,"2657007",,"2569091",
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69076","Philadelphia, PA--NJ--DE--MD","5696125","1952","MB","Bus","PT","3","7",,"0",,"7",,"154264",,"128081",,"0",,"0",
"Southeastern Regional Transit Authority","New Bedford","MA","10006","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","61786","New Bedford, MA","155491","74","DR","Demand Response","PT","24","0",,"12",,"12",,"750257",,"677467",,"0",,"0",
"Southeastern Regional Transit Authority","New Bedford","MA","10006","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","61786","New Bedford, MA","155491","74","MB","Bus","PT","50","2",,"1182",,"1184",,"1641071",,"1566913",,"0",,"0",
"Southern California Regional Rail Authority, dba: Metrolink","Los Angeles","CA","90151","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","195","CR","Commuter Rail","PT","195","107",,"0",,"107",,"11759586",,"11082561",,"2667546",,"2501004",
"Southwest Ohio Regional Transit Authority, dba: Metro / Access","Cincinnati","OH","50012","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","16885","Cincinnati, OH--KY","1686744","292","DR","Demand Response","DO","40","49",,"98",,"147",,"1728458",,"1377484",,"0",,"0",
"Southwest Ohio Regional Transit Authority, dba: Metro / Access","Cincinnati","OH","50012","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","16885","Cincinnati, OH--KY","1686744","292","MB","Bus","DO","252","1256",,"955",,"2211",,"12702982",,"10760020",,"0",,"0",
"Brevard Board of County Commissioners, dba: Space Coast Area Transit","Titusville","FL","40063","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","67105","Palm Bay--Melbourne, FL","510675","87","DR","Demand Response","DO","32","6",,"6",,"12",,"726611",,"607031",,"0",,"0",
"Brevard Board of County Commissioners, dba: Space Coast Area Transit","Titusville","FL","40063","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","67105","Palm Bay--Melbourne, FL","510675","87","MB","Bus","DO","35","20",,"19",,"39",,"2140145",,"2086923",,"0",,"0",
"Brevard Board of County Commissioners, dba: Space Coast Area Transit","Titusville","FL","40063","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","67105","Palm Bay--Melbourne, FL","510675","87","VP","Vanpool","PT","20","3",,"0",,"3",,"360220",,"360220",,"0",,"0",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","83764","Spokane, WA","447279","300","DR","Demand Response","DO","55","11",,"7",,"18",,"1336738",,"1217504",,"0",,"0",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","83764","Spokane, WA","447279","300","DR","Demand Response","PT","36","4",,"71",,"75",,"1244015",,"1099149",,"0",,"0",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","83764","Spokane, WA","447279","300","MB","Bus","DO","129","584",,"624",,"1208",,"7513381",,"6824002",,"0",,"0",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","83764","Spokane, WA","447279","300","VP","Vanpool","DO","80","4",,"8",,"12",,"1016131",,"1016131",,"0",,"0",
"Springfield Mass Transit District, dba: Sangamon Mass Transit District","Springfield","IL","50059","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","83899","Springfield, IL","159265","66","DR","Demand Response","DO","18","20",,"16",,"36",,"542577",,"498153",,"0",,"0",
"Springfield Mass Transit District, dba: Sangamon Mass Transit District","Springfield","IL","50059","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","83899","Springfield, IL","159265","66","MB","Bus","DO","48","209",,"281",,"490",,"1814550",,"1739930",,"0",,"0",
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus","Saint Cloud","MN","50028","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77338","St. Cloud, MN","117638","47","DR","Demand Response","DO","25","9",,"102",,"111",,"702913",,"647807",,"0",,"0",
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus","Saint Cloud","MN","50028","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77338","St. Cloud, MN","117638","47","MB","Bus","DO","20","36",,"120",,"156",,"1048660",,"986951",,"0",,"0",
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus","Saint Cloud","MN","50028","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77338","St. Cloud, MN","117638","47","CB","Commuter Bus","DO","2","0",,"1",,"1",,"64513",,"59971",,"0",,"0",
"City of Lincoln, dba: StarTran","Lincoln","NE","70001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","49933","Lincoln, NE","291217","73","DR","Demand Response","DO","19","21",,"23",,"44",,"697989",,"620814",,"0",,"0",
"City of Lincoln, dba: StarTran","Lincoln","NE","70001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","49933","Lincoln, NE","291217","73","MB","Bus","DO","54","179",,"259",,"438",,"1625341",,"1516702",,"0",,"0",
